Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-04-19,2016,4,19,Tuesday,16,2016-16,61.16,61.25,60.48,60.9,7283600,53.69,0.00016416447318756688,53.339285714285715,51.781800000000004
2016-04-20,2016,4,20,Wednesday,16,2016-16,61.04,61.43,60.85,60.9,5558800,53.69,0.0,53.415,51.901
2016-04-21,2016,4,21,Thursday,16,2016-16,60.9,61.1,60.48,60.64,12799100,53.46,-0.0042694231539359695,53.39142857142857,52.010799999999996
2016-04-22,2016,4,22,Friday,16,2016-16,59.01,59.1,57.03,57.68,29836700,50.85,-0.048812507501706626,53.230000000000004,52.055600000000005
2016-04-25,2016,4,25,Monday,17,2016-17,57.62,57.96,57.58,57.77,8428000,50.93,0.0015603800458308115,53.08714285714286,52.105999999999995
2016-04-26,2016,4,26,Tuesday,17,2016-17,58.05,58.67,57.56,57.72,8839100,50.88,-0.0008656770617825327,52.89142857142857,52.1388
2016-04-27,2016,4,27,Wednesday,17,2016-17,57.51,57.65,56.62,56.9,12390800,50.16,-0.014206420766901595,52.622857142857136,52.1474
2016-04-28,2016,4,28,Thursday,17,2016-17,56.59,57.36,56.32,56.42,9196600,49.74,-0.008435955608527168,52.332142857142856,52.1262
2016-04-29,2016,4,29,Friday,17,2016-17,56.02,56.43,55.29,56.23,12133400,49.57,-0.0033675490283754383,52.03785714285715,52.11339999999999
2016-05-02,2016,5,2,Monday,18,2016-18,56.29,57.37,56.11,57.36,8616200,50.57,0.02009602782253439,51.903571428571425,52.108000000000004
2016-05-03,2016,5,3,Tuesday,18,2016-18,56.7,57.06,56.14,56.25,7854300,49.76,-0.015920115840269755,51.66642857142857,52.065200000000004
2016-05-04,2016,5,4,Wednesday,18,2016-18,55.98,56.65,55.8,56.39,6508500,49.88,0.002488718395120104,51.442857142857136,52.032
2016-05-05,2016,5,5,Thursday,18,2016-18,56.37,56.77,56.01,56.25,6215400,49.76,-0.002482540052025972,51.18714285714285,52.0026
2016-05-06,2016,5,6,Friday,18,2016-18,55.96,56.32,55.38,56.31,6378700,49.81,0.0010665826463560624,50.910714285714285,51.963
2016-05-09,2016,5,9,Monday,19,2016-19,56.32,56.93,56.23,56.64,5976200,50.11,0.005860375614796798,50.654999999999994,51.9366
2016-05-10,2016,5,10,Tuesday,19,2016-19,56.85,57.6,56.71,57.49,7931200,50.86,0.015007036594478551,50.45285714285715,51.9274
2016-05-11,2016,5,11,Wednesday,19,2016-19,57.13,57.39,56.09,56.23,8118900,49.74,-0.021916782159284054,50.18714285714286,51.8636
2016-05-12,2016,5,12,Thursday,19,2016-19,56.57,56.79,55.82,56.3,6870300,49.8,0.0012448785743000013,50.11214285714285,51.809400000000004
2016-05-13,2016,5,13,Friday,19,2016-19,56.43,56.6,55.73,55.82,5466000,49.38,-0.008525926544909135,50.00142857142857,51.75599999999999
2016-05-16,2016,5,16,Monday,20,2016-20,55.7,55.77,55.2,55.53,9536200,49.12,-0.005195081494079767,49.87571428571429,51.7034
2016-05-17,2016,5,17,Tuesday,20,2016-20,55.38,55.64,54.51,54.88,10530000,48.55,-0.011705382141480203,49.760714285714286,51.6518
2016-05-18,2016,5,18,Wednesday,20,2016-20,54.76,55.17,54.38,54.8,7455200,48.48,-0.001457873131721965,49.67071428571428,51.6058
2016-05-19,2016,5,19,Thursday,20,2016-20,54.43,54.62,54.19,54.55,7582800,48.26,-0.004561855903331691,49.57714285714285,51.564800000000005
2016-05-20,2016,5,20,Friday,20,2016-20,54.88,55.37,54.58,54.62,8430800,48.32,0.0012830594727433198,49.416428571428575,51.516999999999996
2016-05-23,2016,5,23,Monday,21,2016-21,54.62,54.82,54.29,54.6,7352100,48.3,-0.00036608483362721156,49.31214285714286,51.467600000000004
2016-05-24,2016,5,24,Tuesday,21,2016-21,54.74,55.62,54.68,55.44,7748700,49.04,0.015384589868791432,49.252142857142864,51.41440000000001
2016-05-25,2016,5,25,Wednesday,21,2016-21,55.2,55.46,54.95,55.15,8115500,48.79,-0.005230689271980671,49.18285714285714,51.3486
2016-05-26,2016,5,26,Thursday,21,2016-21,55.55,55.87,54.95,55.29,9451700,48.91,0.0025383572331219018,49.11857142857143,51.2748
2016-05-27,2016,5,27,Friday,21,2016-21,55.36,55.55,55.1,55.15,6631100,48.79,-0.00253193028955756,49.02428571428571,51.200599999999994
2016-05-31,2016,5,31,Tuesday,22,2016-22,55.5,55.5,54.7,54.89,12044000,48.56,-0.004714773373583392,48.86,51.11919999999999
2016-06-01,2016,6,1,Wednesday,22,2016-22,54.76,55.49,54.72,54.82,8761600,48.5,-0.0012751908524382127,48.771428571428565,51.0472
2016-06-02,2016,6,2,Thursday,22,2016-22,54.9,55.0,54.46,54.62,8307500,48.32,-0.0036482791457426167,48.66571428571428,50.9666
2016-06-03,2016,6,3,Friday,22,2016-22,54.71,55.08,54.4,54.61,6649200,48.31,-0.00018292399385688718,48.589285714285715,50.895599999999995
2016-06-06,2016,6,6,Monday,23,2016-23,54.72,55.87,54.69,55.59,9900900,49.18,0.01794530795838889,48.59357142857142,50.8502
2016-06-07,2016,6,7,Tuesday,23,2016-23,55.65,56.1,55.28,55.3,7173100,48.92,-0.005216730399037917,48.620000000000005,50.788999999999994
2016-06-08,2016,6,8,Wednesday,23,2016-23,55.5,55.5,54.9,55.22,7623900,48.85,-0.0014467227748381495,48.64642857142858,50.716
2016-06-09,2016,6,9,Thursday,23,2016-23,55.15,55.61,55.06,55.58,5927900,49.17,0.006519489436031201,48.71142857142858,50.6414
2016-06-10,2016,6,10,Friday,23,2016-23,54.92,55.2,54.5,54.87,8118700,48.54,-0.012774369641301297,48.72714285714285,50.5596
2016-06-13,2016,6,13,Monday,24,2016-24,54.79,55.6,54.76,55.04,7908400,48.69,0.003098289590740322,48.755,50.45759999999999
2016-06-14,2016,6,14,Tuesday,24,2016-24,55.05,55.58,55.01,55.57,8036500,49.16,0.009629529114381086,48.763571428571424,50.378600000000006
2016-06-15,2016,6,15,Wednesday,24,2016-24,55.64,56.09,55.27,55.35,7447300,48.96,-0.0039592531071003245,48.77571428571429,50.2992
2016-06-16,2016,6,16,Thursday,24,2016-24,54.9,55.59,54.41,55.53,7968000,49.12,0.0032520883856279603,48.79071428571429,50.2092
2016-06-17,2016,6,17,Friday,24,2016-24,55.61,55.62,55.04,55.31,9503000,48.93,-0.003961873019558526,48.800714285714285,50.109399999999994
2016-06-20,2016,6,20,Monday,25,2016-25,55.77,56.28,55.38,55.38,7286700,48.99,0.001265663304558462,48.83142857142857,50.013000000000005
2016-06-21,2016,6,21,Tuesday,25,2016-25,55.52,56.03,55.45,55.81,7445100,49.37,0.007764638460262763,48.89357142857143,49.9266
2016-06-22,2016,6,22,Wednesday,25,2016-25,55.88,55.98,55.49,55.61,7215400,49.19,-0.0035837167814480875,48.95571428571429,49.8614
2016-06-23,2016,6,23,Thursday,25,2016-25,55.98,56.2,55.9,56.13,5569400,49.65,0.009350772372340055,49.05142857142857,49.79280000000001
2016-06-24,2016,6,24,Friday,25,2016-25,54.05,55.57,54.01,54.68,14654700,48.37,-0.02583286694295417,48.993571428571435,49.7
2016-06-27,2016,6,27,Monday,26,2016-26,54.2,54.48,53.41,53.69,11631900,47.5,-0.01810529623012813,48.89214285714286,49.5832
